0,SMCLN MINUS MINUS,sql
1,SQUT SMCLN MINUS MINUS,sql
2,SQUT RPRN SMCLN MINUS MINUS,sql
3,SQUT SMCLN EXEC master DOT DOT xp_cmdshell SQUT ping INT DOT INT DOT INT DOT INT SQUT MINUS MINUS,sql
4,SQUT GRANT CONNECT TO NAME SMCLN GRANT resource TO NAME SMCLN MINUS MINUS,sql
5,SQUT OR INT EQ INT MINUS MINUS,sql
6,SQUT UNION LPRN SELECT ATR ATR VERSION RPRN MINUS MINUS,sql
7,SQUT UNION LPRN SELECT NULL CMMA LPRN SELECT ATR ATR VERSION RPRN RPRN MINUS MINUS,sql
8,SQUT UNION LPRN SELECT NULL CMMA NULL CMMA LPRN SELECT ATR ATR VERSION RPRN RPRN MINUS MINUS,sql
9,SQUT UNION LPRN SELECT NULL CMMA NULL CMMA NULL CMMA LPRN SELECT ATR ATR VERSION RPRN RPRN MINUS MINUS,sql
10,SQUT UNION LPRN SELECT NULL CMMA NULL CMMA NULL CMMA NULL CMMA LPRN SELECT ATR ATR VERSION RPRN RPRN MINUS MINUS,sql
11,SQUT UNION LPRN SELECT NULL CMMA NULL CMMA NULL CMMA NULL CMMA NULL CMMA LPRN SELECT ATR ATR VERSION RPRN RPRN MINUS MINUS,sql
0,SQUT SMCLN IF NOT LPRN SUBSTRING LPRN LPRN SELECT ATR ATR VERSION RPRN CMMA INT CMMA INT RPRN LT GT INT RPRN waitfor delay SQUT INT CLN INT CLN INT SQUT MINUS MINUS,sql
1,SQUT SMCLN IF NOT LPRN SUBSTRING LPRN LPRN SELECT ATR ATR VERSION RPRN CMMA INT CMMA INT RPRN LT GT INT RPRN waitfor delay SQUT INT CLN INT CLN INT SQUT MINUS MINUS,sql
2,SQUT SMCLN IF NOT LPRN SUBSTRING LPRN LPRN SELECT ATR ATR VERSION RPRN CMMA INT CMMA INT RPRN LT GT INT RPRN waitfor delay SQUT INT CLN INT CLN INT SQUT MINUS MINUS,sql
